"Cuota", "Linea", "Modelo", "Precio Publico", "Precio Publico Plan", "Derecho Suscripcion", "IVA", "Total Suscripcion", "Cuota Pura", "Carga Admin Suscripcion", "IVA 21", "Cuota Mensual", "Pago Adjudicacion 30", "Plan", "Producto", "Imagen"
"84", "Furgon", "CDI Furgon Version 1 con aire acondicionado", "1499459,897052", "1049621,93", "20992,44", "4408,41", "25400,85", "12495,5", "1499,46", "314,89", "14424,33", "449837,97", "Plan 70/30", "Vito Furgon", "{filedir_4}vito-furgon.jpg"
"84", "Furgon", "CDI Furgon Version 2 con aire acondicionado", "1519601,906004", "1063721,33", "21274,43", "4467,63", "25742,06", "12663,35", "1519,6", "319,12", "14618,09", "455880,57", "Plan 70/30", "Vito Furgon", "{filedir_4}vito-furgon.jpg"
"84", "Furgon", "CDI Furgon Mixto con aire acondicionado", "1615835,838864", "1131085,09", "22621,7", "4750,56", "27372,26", "13465,3", "1615,84", "339,33", "15543,83", "484750,75", "Plan 70/30", "Vito Furgon", "{filedir_4}vito-furgon.jpg"
"84", "Furgon", "CDI Furgon Plus con aire acondicionado", "1812779,816484", "1268945,87", "25378,92", "5329,57", "30708,49", "15106,5", "1812,78", "380,68", "17438,36", "543833,94", "Plan 70/30", "Vito Furgon", "{filedir_4}vito-furgon.jpg"
"84", "Pasajeros", "Tourer AT ", "1827778,1808", "1279444,73", "25588,89", "5373,67", "30962,56", "15231,48", "1827,78", "383,83", "17582,63", "548333,45", "Plan 70/30", "Vito Tourer Automatica", "{filedir_4}vito-tourer.jpg"
